Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,058214,2022,01,01,4.0,1,N
IDCJAC0009,058214,2022,01,02,26.2,1,N
IDCJAC0009,058214,2022,01,03,2.8,1,N
IDCJAC0009,058214,2022,01,04,0.8,1,N
IDCJAC0009,058214,2022,01,05,16.2,1,N
IDCJAC0009,058214,2022,01,06,18.6,1,N
IDCJAC0009,058214,2022,01,07,4.0,1,N
IDCJAC0009,058214,2022,01,08,4.8,1,N
IDCJAC0009,058214,2022,01,09,0.2,1,N
IDCJAC0009,058214,2022,01,10,0.4,1,N
IDCJAC0009,058214,2022,01,11,0.6,1,N
IDCJAC0009,058214,2022,01,12,0.2,1,N
IDCJAC0009,058214,2022,01,13,0.0,1,N
IDCJAC0009,058214,2022,01,14,0.0,1,N
IDCJAC0009,058214,2022,01,15,0.0,1,N
IDCJAC0009,058214,2022,01,16,10.0,1,N
IDCJAC0009,058214,2022,01,17,0.0,1,N
IDCJAC0009,058214,2022,01,18,0.2,1,N
IDCJAC0009,058214,2022,01,19,0.0,1,N
IDCJAC0009,058214,2022,01,20,24.4,1,N
IDCJAC0009,058214,2022,01,21,48.0,1,N
IDCJAC0009,058214,2022,01,22,0.2,1,N
IDCJAC0009,058214,2022,01,23,0.8,1,N
IDCJAC0009,058214,2022,01,24,2.2,1,N
IDCJAC0009,058214,2022,01,25,0.4,1,N
IDCJAC0009,058214,2022,01,26,,,
IDCJAC0009,058214,2022,01,27,,,
IDCJAC0009,058214,2022,01,28,,,
IDCJAC0009,058214,2022,01,29,,,
IDCJAC0009,058214,2022,01,30,,,
IDCJAC0009,058214,2022,01,31,,,
IDCJAC0009,058214,2022,02,01,,,
IDCJAC0009,058214,2022,02,02,,,
IDCJAC0009,058214,2022,02,03,,,
IDCJAC0009,058214,2022,02,04,34.0,1,N
IDCJAC0009,058214,2022,02,05,4.8,1,N
IDCJAC0009,058214,2022,02,06,13.4,1,N
IDCJAC0009,058214,2022,02,07,1.4,1,N
IDCJAC0009,058214,2022,02,08,,,
IDCJAC0009,058214,2022,02,09,0.0,1,N
IDCJAC0009,058214,2022,02,10,0.0,1,N
IDCJAC0009,058214,2022,02,11,0.0,1,Y
IDCJAC0009,058214,2022,02,12,0.8,1,N
IDCJAC0009,058214,2022,02,13,0.2,1,N
IDCJAC0009,058214,2022,02,14,4.8,1,N
IDCJAC0009,058214,2022,02,15,,,
IDCJAC0009,058214,2022,02,16,0.0,1,N
IDCJAC0009,058214,2022,02,17,1.0,1,N
IDCJAC0009,058214,2022,02,18,0.0,1,N
IDCJAC0009,058214,2022,02,19,23.8,1,N
IDCJAC0009,058214,2022,02,20,1.6,1,N
IDCJAC0009,058214,2022,02,21,0.2,1,N
IDCJAC0009,058214,2022,02,22,0.0,1,N
IDCJAC0009,058214,2022,02,23,45.8,1,N
IDCJAC0009,058214,2022,02,24,146.8,1,N
IDCJAC0009,058214,2022,02,25,13.4,1,N
IDCJAC0009,058214,2022,02,26,11.8,1,N
IDCJAC0009,058214,2022,02,27,66.6,1,N
