Hospital and Health Service,Facility Idenitifier,Facility Name,Address,Phone Number,Fax Number
Cairns and Hinterland,211, Atherton Hospital ,"Cnr Louise & Jack Streets, Atherton, 4883",(07) 4091 0211, (07) 4091 0401 
Cairns and Hinterland,212, Babinda Hospital ,"128 Munro Street, Babinda, 4861",(07) 4067 8200, (07) 4067 1641 
Cairns and Hinterland,214, Cairns Hospital ,"165 The Esplanade, Cairns, 4870",(07) 4226 0000, (07) 4031 1168 
Cairns and Hinterland,220, Gordonvale Hospital ,"1-11 Highleigh Road, Gordonvale, 4865",(07) 4043 3100, (07) 4043 3199 
Cairns and Hinterland,221, Herberton Hospital ,"23 Grace Street, Herberton, 4887",(07) 4096 1000, (07) 4096 2451 
Cairns and Hinterland,222, Innisfail Hospital ,"87 Rankin Street, Innisfail, 4860",(07) 4016 1411, (07) 4016 1260 
Cairns and Hinterland,223, Mareeba Hospital ,"21 Lloyd Street, Mareeba, 4880",(07) 4092 9333, (07) 4092 9160 
Cairns and Hinterland,224, Mossman Hospital ,"9 Hospital Street, Mossman, 4873",(07) 4084 1200, (07) 4098 3069 
Cairns and Hinterland,227, Tully Hospital ,"17 Bryant Street, Tully, 4854",(07) 4068 4144, (07) 4068 2348 
Central Queensland,132, Baralaba Hospital ,"Stopford Street, Baralaba, 4702",(07) 4998 2800, (07) 4998 1178 
Central Queensland,133, Biloela Hospital ,"2 Hospital Road, Biloela, 4715",(07) 4992 7000, (07) 4992 4857 
Central Queensland,134, Blackwater Hospital ,"41 Mackenzie Street, Blackwater, 4717",(07) 4980 1800, (07) 4980 1832 
Central Queensland,135, Emerald Hospital ,"69 Hospital Road, Emerald, 4720",(07) 4987 9400, (07) 4982 3860 
Central Queensland,136, Gladstone Hospital ,"Park Street, Gladstone, 4680",(07) 4976 3200, (07) 4972 3776 
Central Queensland,139, Mount Morgan Hospital ,"Black Street, Mount Morgan, 4714",(07) 4912 5100, (07) 4938 1540 
Central Queensland,140, Moura Hospital ,"14 Nott Street, Moura, 4718",(07) 4997 2900, (07) 4997 1475 
Central Queensland,141, Rockhampton Base Hospital ,"Canning Street, Rockhampton, 4700",(07) 4920 6211, (07) 4920 6335 
Central Queensland,142, Springsure Hospital ,"21 Woodbine Street, Springsure, 4722",(07) 4984 1200, (07) 4984 1101 
Central Queensland,143, Theodore Hospital ,"The Boulevard, Theodore, 4719",(07) 4990 3000, (07) 4993 1610 
Central Queensland,144, Capricorn Coast Hospital ,"8 Hoskyn Drive, Yeppoon, 4703",(07) 4913 3000, (07) 4939 3517 
Central Queensland,145, Woorabinda Hospital ,"1 Munns Drive Via Duaringa, Woorabinda, 4713",(07) 4913 2800, (07) 4935 0130 
Central West,131, Alpha Hospital ,"1 Burns Street, Alpha, 4724",(07) 4809 7000, (07) 4809 7099 
Central West,152, Barcaldine Hospital ,"25 Oak Street, Barcaldine, 4725",(07) 4650 4000, (07) 4650 4099 
Central West,153, Blackall Hospital ,"189 Landsborough Hwy, Blackall, 4472",(07) 4650 7700, (07) 4650 7799 
Central West,156, Longreach Hospital ,"Jabiru Street, Longreach, 4730",(07) 4658 4700, (07) 4658 1494 
Central West,159, Winton Hospital ,"Bloomfield Street, Winton, 4735",(07) 4657 2700, (07) 4657 2799 
